Nama_Daerah,RLS,Kemiskinan,IPM,Kategori_IPM,latitude,longitude
SUKABUMI,7.34,6.87,68.97,Sedang,-6.92405,106.922203
CIANJUR,7.33,10.14,67.24,Sedang,-6.8172531,107.1307289
BANDUNG,9.15,6.19,74.27,Tinggi,-6.9147444,107.6098111
GARUT,7.85,9.68,68.79,Sedang,-7.227906,107.908699
TASIKMALAYA,7.97,10.23,68.36,Sedang,-7.327954,108.214104
CIAMIS,8.1,7.39,72.56,Tinggi,-7.3333333,108.35
KUNINGAN,7.9,11.88,71.26,Tinggi,-6.9833333,108.4833333
CIREBON,7.65,11.0,71.44,Tinggi,-6.715534,108.564003
MAJALENGKA,7.53,10.82,69.74,Sedang,-6.8531026,108.2258897
SUMEDANG,8.74,9.1,73.73,Tinggi,0.6095949,110.0330554
INDRAMAYU,6.95,11.93,69.83,Sedang,-6.336315,108.325104
SUBANG,7.46,9.49,71.36,Tinggi,-6.569361,107.752403
PURWAKARTA,8.14,8.41,72.65,Tinggi,-6.5386806,107.4499404
KARAWANG,8.05,7.86,72.9,Tinggi,-6.3227303,107.3375791
BEKASI,9.76,4.8,76.44,Tinggi,-6.2333333,107.0
BANDUNG BARAT,8.24,10.49,70.03,Tinggi,-6.8937121,107.4321959
PANGANDARAN,8.1,8.75,69.85,Sedang,-7.6834,108.4874
KOTA BOGOR,10.71,6.53,78.52,Tinggi,-6.6,106.8
KOTA SUKABUMI,10.38,7.2,76.85,Tinggi,-6.92405,106.922203
KOTA BANDUNG,11.07,3.87,83.52,Sangat Tinggi,-6.9147444,107.6098111
KOTA CIREBON,10.53,9.02,77.08,Tinggi,-6.715534,108.564003
KOTA BEKASI,11.79,4.01,83.54,Sangat Tinggi,-6.2333333,107.0
KOTA DEPOK,11.59,2.34,82.91,Sangat Tinggi,-6.39,106.83
KOTA CIMAHI,11.52,4.39,80.08,Sangat Tinggi,-6.880239,107.5355
KOTA TASIKMALAYA,9.63,11.1,75.04,Tinggi,-7.327954,108.214104
KOTA BANJAR,8.83,5.85,73.64,Tinggi,-7.3666667,108.5333333
CILACAP,7.4,10.68,72.38,Tinggi,-7.733333,109.0
BANYUMAS,7.91,11.95,74.52,Tinggi,-7.4832133,109.140438
PURBALINGGA,7.36,14.18,70.69,Tinggi,-7.390747,109.3638
BANJARNEGARA,6.87,14.71,69.6,Sedang,-7.402706,109.681396
KEBUMEN,7.87,15.71,71.93,Tinggi,-7.678682,109.656502
PURWOREJO,8.65,10.87,75.11,Tinggi,-7.709731,110.008003
WONOSOBO,6.9,15.28,69.82,Sedang,-7.362109,109.899399
MAGELANG,7.83,10.83,71.99,Tinggi,-7.481253,110.213799
BOYOLALI,8.17,9.63,75.96,Tinggi,-7.523819,110.595901
KLATEN,9.29,12.04,78.16,Tinggi,-7.711687,110.595497
SUKOHARJO,10.01,7.47,79.3,Tinggi,-7.6808818,110.8195292
WONOGIRI,7.68,10.71,72.55,Tinggi,-7.817782,110.920601
KARANGANYAR,9.26,9.59,78.11,Tinggi,-7.5961111,110.9508333
SRAGEN,7.88,12.41,75.53,Tinggi,-7.430229,111.021301
GROBOGAN,7.29,11.43,72.02,Tinggi,-7.0217194,110.9625854
BLORA,7.26,11.42,71.39,Tinggi,-6.95,111.4166667
REMBANG,7.73,14.02,72.53,Tinggi,-6.71124,111.345299
PATI,7.82,9.17,74.1,Tinggi,-6.751338,111.038002
KUDUS,9.35,7.23,77.22,Tinggi,-6.804087,110.838203
JEPARA,8.27,6.09,74.32,Tinggi,-6.5596059,110.6717
DEMAK,8.28,11.89,74.57,Tinggi,-6.888115,110.639297
SEMARANG,8.16,6.96,75.67,Tinggi,-6.9666667,110.4166667
TEMANGGUNG,7.53,8.67,71.87,Tinggi,-7.316669,110.174797
KENDAL,7.74,9.35,74.34,Tinggi,-6.919686,110.205597
BATANG,7.08,8.73,70.74,Tinggi,-6.8941111,109.7234519
PEKALONGAN,7.48,8.95,71.84,Tinggi,-6.882887,109.669998
PEMALANG,6.56,14.92,68.55,Sedang,-6.884234,109.377998
TEGAL,7.36,6.81,70.77,Tinggi,-6.8666667,109.1333333
BREBES,6.41,15.6,68.46,Sedang,-6.8833333,109.05
KOTA MAGELANG,11.43,5.94,82.15,Sangat Tinggi,-7.481253,110.213799
KOTA SURAKARTA,11.25,8.31,84.4,Sangat Tinggi,-7.5666667,110.8166667
KOTA SALATIGA,11.48,4.57,85.72,Sangat Tinggi,-7.302328,110.4729
KOTA SEMARANG,11.05,4.03,85.25,Sangat Tinggi,-6.9666667,110.4166667
KOTA PEKALONGAN,9.34,6.71,77.22,Tinggi,-6.882887,109.669998
KOTA TEGAL,9.28,7.64,77.43,Tinggi,-6.8666667,109.1333333
KULON PROGO,9.2,15.62,76.14,Tinggi,-7.8266798,110.1640846
BANTUL,9.81,11.66,81.74,Sangat Tinggi,-7.8846111,110.3341111
GUNUNG KIDUL,7.35,15.18,71.89,Tinggi,-8.0305091,110.6168921
SLEMAN,11.33,7.46,85.61,Sangat Tinggi,-7.716165,110.335403
KOTA YOGYAKARTA,12.12,6.26,88.77,Sangat Tinggi,-7.797224,110.368797
PACITAN,7.9,13.08,70.74,Tinggi,-8.204614,111.08769
PONOROGO,7.8,9.11,73.01,Tinggi,-7.867827,111.466003
TRENGGALEK,7.92,10.5,72.24,Tinggi,-8.05,111.7166667
TULUNGAGUNG,8.68,6.28,75.09,Tinggi,-8.0666667,111.9
BLITAR,7.87,8.16,73.09,Tinggi,-8.1,112.15
KEDIRI,8.26,9.95,74.44,Tinggi,-7.816895,112.011398
MALANG,7.8,8.98,72.68,Tinggi,-7.981894,112.626503
LUMAJANG,7.27,8.65,68.8,Sedang,-8.137022,113.226601
JEMBER,6.54,9.01,69.15,Sedang,-8.172357,113.700302
BANYUWANGI,7.78,6.54,73.11,Tinggi,-8.2186111,114.3669444
BONDOWOSO,6.53,12.6,68.65,Sedang,-7.917704,113.813483
SITUBONDO,6.93,11.51,69.75,Sedang,-7.702534,113.955605
PROBOLINGGO,6.31,16.45,68.29,Sedang,-7.756928,113.211502
PASURUAN,7.46,8.63,70.73,Tinggi,-7.644872,112.903297
SIDOARJO,10.91,4.53,82.31,Sangat Tinggi,-7.4530278,112.7173389
MOJOKERTO,9.13,9.37,75.98,Tinggi,-7.4722222,112.4336111
JOMBANG,8.78,8.6,75.1,Tinggi,-7.5468395,112.2264794
NGANJUK,8.25,10.17,74.23,Tinggi,-7.602932,111.901808
MADIUN,8.2,10.63,73.74,Tinggi,-7.629714,111.513702
MAGETAN,8.69,9.32,75.87,Tinggi,-7.6493413,111.3381593
NGAWI,7.84,13.81,73.09,Tinggi,-7.38993,111.46193
BOJONEGORO,7.59,11.69,71.78,Tinggi,0.882681,124.4669566
TUBAN,7.53,14.36,71.23,Tinggi,-8.7493146,115.1711298
LAMONGAN,8.48,12.16,75.13,Tinggi,-7.406153,109.3946794
GRESIK,10.03,10.32,78.45,Tinggi,-7.15665,112.6555
BANGKALAN,6.01,18.66,66.27,Sedang,-7.0306912,112.7450068
SAMPANG,5.08,20.83,64.65,Sedang,-7.5782556,109.2058436
PAMEKASAN,7.17,13.41,68.49,Sedang,-7.1666667,113.4666667
SUMENEP,6.1,17.78,69.26,Sedang,-6.9253999,113.9060624
KOTA KEDIRI,10.92,6.51,81.35,Sangat Tinggi,-7.816895,112.011398
KOTA BLITAR,10.82,6.75,81.27,Sangat Tinggi,-8.1,112.15
KOTA MALANG,11.14,3.91,84.06,Sangat Tinggi,-7.981894,112.626503
KOTA PROBOLINGGO,9.72,6.18,76.27,Tinggi,-7.756928,113.211502
KOTA PASURUAN,9.94,6.32,77.75,Tinggi,-7.644872,112.903297
KOTA MOJOKERTO,11.38,5.57,80.92,Sangat Tinggi,-7.4722222,112.4336111
KOTA MADIUN,12.11,4.38,83.48,Sangat Tinggi,-7.629714,111.513702
KOTA SURABAYA,10.89,3.96,84.14,Sangat Tinggi,-7.289166,112.734398
KOTA BATU,9.87,3.06,78.79,Tinggi,-7.8671,112.5239
PANDEGLANG,7.16,9.18,66.99,Sedang,-6.314835,106.103897
LEBAK,6.61,8.44,65.86,Sedang,-6.5643956,106.2522143
TANGERANG,9.06,6.55,74.09,Tinggi,-6.1783056,106.6318889
SERANG,7.88,4.51,69.03,Sedang,-6.12009,106.150299
KOTA TANGERANG,11.14,5.43,80.02,Sangat Tinggi,-6.1783056,106.6318889
KOTA CILEGON,10.39,3.75,75.14,Tinggi,-6.0169825,106.040506
KOTA SERANG,8.93,5.65,73.99,Tinggi,-6.12009,106.150299
KOTA TANGERANG SELATAN,11.86,2.36,82.89,Sangat Tinggi,-6.2888889,106.7180556
JEMBRANA,8.7,4.51,74.6,Tinggi,-8.361852,114.6418
TABANAN,9.57,4.4,78.42,Tinggi,-8.544516,115.119797
BADUNG,11.14,2.23,83.87,Sangat Tinggi,-8.5819296,115.1770586
GIANYAR,9.84,4.0,79.82,Tinggi,-8.544185,115.3255
KLUNGKUNG,8.74,5.3,74.04,Tinggi,-8.5389222,115.4045111
BANGLI,7.58,5.06,71.34,Tinggi,-8.454303,115.354897
KARANGASEM,6.7,6.52,69.74,Sedang,-6.3996057,108.0503042
BULELENG,7.69,5.39,74.52,Tinggi,-8.113831,115.126999
KOTA DENPASAR,11.53,2.59,85.22,Sangat Tinggi,-8.65629,115.222099
LOMBOK BARAT,6.88,12.65,70.67,Tinggi,-8.6464599,116.1123078
LOMBOK TENGAH,6.73,12.07,69.17,Sedang,-8.694623,116.2777073
LOMBOK TIMUR,7.36,14.51,69.23,Sedang,-8.5134471,116.5609857
SUMBAWA,8.59,12.87,70.55,Tinggi,-8.6529334,117.3616476
DOMPU,9.04,11.59,70.78,Tinggi,-8.4966318,118.4747173
BIMA,8.3,13.88,68.94,Sedang,-8.460566,118.727402
